name1,img1,name2,img2,name3,img3,name4,img4,name5,img5,name6,img6,posneg,style,model
Textured jacket,891f605ffbc81e7bf1c1cb5bec22c4c4a19148a9.jpg,Mesh panel top,bf8d14d0d5d32a4116ac67210162b91e2715851c.jpg,Braid dress,c575ccfbfa0a94a0d9972c439a08747973eb7dd3.jpg,Wool cardigan,211f1bb11cbe565702c4ac1056b72a06a87603f6.jpg,Tartan mini skirt,604d17835612df1bd9cbf89bd83e06abfc69bbc2.jpg,Tassel top,e6f134dfb45136e68aaf0c28ab2a1f098dcfdf6b.jpg,positive,goth,PLTM
Two piece prom dresses,265c177740a1bc99eb82910b83d0b4670a7780f7.jpg,Straight dress,14daf66692abfcf4032121d8280298e92892721e.jpg,Mesh panel top,c10c044e56da509e7c977d3332599720f6a1021a.jpg,Wetlook leggings,2c1cf4734b73261b27ff5fd7bc9722dada0a9781.jpg,Wool cardigan,d67a31da9d659298edeae2e4878465c4d7fa3f84.jpg,Fine knit cardigan,7b4eab571ccca8cbb87fd80ffa79bdd836e615da.jpg,positive,goth,PLTM
Brogue shoes,9a0c19b7c2b020c26f55a077e099a14160188ba2.jpg,Cross leggings,faa438f5656bee37e1395bf849550278221b7a52.jpg,Jeweled tops,8f292e1b819f5c9ae8f9bb902b7570f6d310d32f.jpg,Boatneck shirt,c4a675262d4a222e95fef45a4d056bf293330e8e.jpg,Wool cardigan,9f156301aa2258a98deff69d8aabaedfa0398ce2.jpg,Braid dress,105db438b00a29774a9878f02c2679e25037cf33.jpg,positive,goth,PLTM
Floral print romper,123be2fe15b3f22a5876259f27434a7e3c4341f1.jpg,Leopard sweater,93e0f9477bd81493a1a680172c1e3bc791695077.jpg,Aztec cardigan,319322e03e75df0e16636c6796aa27662e9062eb.jpg,Chevron top,d8f950549bad79ef246e57bbe6854c7a13ffd0e0.jpg,2 tone shoes,4e313e126a66b95419adc21639be0a762518b05b.jpg,Flower blouse,970d8d5265cc5f40e0802ba640df93e9132c5590.jpg,negative,goth,PLTM
Bird skirt,1fa585e37d7e012e960fdaf27cc885f0d14ca833.jpg,Velvet shirt,15b8dee30247b6d5bf255f401738299936a21f7a.jpg,Tiered skirt,f90806dd275ccd33b81cbcbf008b4682d1422b4b.jpg,Star purse,7d85b47ac31839f059a73d2057d0accb9447fd69.jpg,Button down tops,28aafa7e2a51d590c2455a3a9c31ad17d696c2ce.jpg,Knee length tulle skirt,86dae3d56bb32707b3f628fbab449167b83c92a9.jpg,positive,glamour,PLTM
Embellished tops,262cd435ff5e11fd695a4fbaf453f0e2846dcb6f.jpg,Cotton caftan,792a715df6a614e4c52ba86d883ab571545c94c0.jpg,Studded dress,7f297ea1e155e2411825a61abda1c5bafc068a60.jpg,Minaudiere purse,8c50aca12e1ef7854f21ba5897e8c936b0931ceb.jpg,Chevron purse,8c1eb573d5687e0d56e9880213a286045ac43dab.jpg,Heather grey shirt,67d1b3e638a19dd22c63ffa106dca109b736f3b1.jpg,positive,glamour,PLTM
Mesh skirt,7a0f97c2c3cbde16dc257a51b3ef8a626f1ca839.jpg,Knee length tulle skirt,52357c9a00485b0f277db34732545d055865fafc.jpg,Cut out shirts,90ff3a9c75d0b33861e3d08459ae726e9310bcaa.jpg,Studded dress,307961268028c5d3967eeae65efb718a4cd43483.jpg,Box clutch,555d3546afa573ce4f490e53d777d4501ed6b821.jpg,Logo jackets,3a85e88d51b05efd0a782e1d577abb27befd1715.jpg,positive,glamour,PLTM
Chevron top,b5147d85d52947e353b01afa25e05c3e968a12f7.jpg,Leopard sweater,59363f8110dd415a376ec5d228124d7b3d9302a0.jpg,Floral print romper,2877af6149b6e93cd8c0adef97bcb0da662d3043.jpg,Zebra shirt,d2b27b8347154a980fa9d3724cf7c1db7e0fc744.jpg,Flower blouse,66efb88e02e9e2216029334c626b8ec882534a60.jpg,2 tone shoes,045f6f4a38e3e84b238cc4f03d4458eaef384786.jpg,negative,glamour,PLTM
Bustier bra,cdfcf63612569058193ef8b78511622d5e7a59a5.jpg,See through lingerie,dc83e266060b548848818f7f74c42b390a837ea5.jpg,Garland headband,d54a83b52cca234cb0b988ca80ded8d17ee3e389.jpg,Pink headband,1343d357866a8e5e919bfc6215f780338ff5b3cc.jpg,Feather headband,7fe82fb392264d41e9402b2cc2e7a9cdae013401.jpg,Floral crown,2c9593f58e9e4a7c1359beaad634b0b696c89e74.jpg,positive,wedding,PLTM
Leaf garland,627070dc7012e85caae5e347a28e0bf71e4adcec.jpg,Floral headband,421f70ac10670b93dd43d03741dcc099bb96803a.jpg,Rhinestone headband,edf70df3093e9e1c61eb2ceb97bc57026e29e59d.jpg,Wet look top,74b25c7a74cd3e951e237e00dcadee33c4370169.jpg,See through lingerie,6e187ff882cf32698edc9e8cb8e866d40d98e670.jpg,Feather headband,01931a5868b4f30e9af33e253e2ba87c57dddfa4.jpg,positive,wedding,PLTM
